H	T	d	Uc	L
3	9	5	1	78.827
1.48	2.15	37.23	1.58	13.4111
1.62	2.3	43.22	2.36	17.979
2.27	2.42	46.16	2.01	17.9339
1.11	2.44	32.36	0.02	9.7586
2.04	2.51	26.27	1.1	15.4339
1.48	2.61	39.16	0.24	12.2921
2.68	2.86	41.55	1.51	21.2163
2.2	3	43.34	0.95	19.8817
1.1	3.01	25.35	0.6	18.1556
3.64	3.21	42.28	1.9	27.8535
1.94	3.23	35.92	0	16.908
1.65	3.23	36.99	-0.63	12.6637
2.6	3.36	31.74	2.48	33.0937
1.57	3.42	47	0.92	24.8714
3.13	3.85	49.62	1.22	33.5165
5.15	3.89	45.4	1.72	37.3519
1.83	3.93	38.53	-0.22	23.5104
2.23	3.96	40.13	2.13	40.4355
2.35	3.99	31.15	1.82	38.9631
2.77	4	46.07	0.26	27.7259
1.02	4.03	11.5	-1.4	12.5886
3.59	4.08	36.52	0.09	27.939
3.28	4.15	44.93	0.24	29.7965
2.13	4.2	16.85	0.58	33.2751
1.25	4.21	47.31	-0.06	27.6999
5.4	4.23	46.16	1.39	40.5066
5.02	4.23	37.41	1.19	39.2578
4.06	4.26	30.2	1.09	38.1116
5.95	4.28	39.23	2.18	46.8727
4.73	4.3	25.5	0.64	35.8943
1.76	4.33	29.78	1.25	39.9711
2.58	4.36	45.16	1.59	43.4189
2.31	4.38	33.84	0.61	36.2679
4.24	4.39	35.47	1.84	46.8566
2.42	4.45	40.21	-0.25	30.166
1.46	4.46	24.33	1.42	43.0734
2.76	4.47	27.85	1.01	41.1252
2.08	4.5	10.97	-1.33	18.7103
1.59	4.51	33.53	-0.98	23.5089
3.68	4.53	34.52	2.05	50.5761
4.31	4.56	26.23	0.12	35.4326
3.42	4.58	28.7	1.58	47.7043
3.96	4.65	22.71	-0.37	31.5827
8.06	4.69	42.32	2.47	57.8347
3.59	4.69	46.15	0.9	44.5651
6.16	4.69	24.81	1.03	44.5852
2.92	4.74	42.62	1.14	46.6268
3.3	4.75	49.97	0.47	41.3371
2.87	4.77	43.27	0.67	42.5836
3.15	4.78	48.5	-0.48	31.9154
1.91	4.79	42.62	2.12	54.6956
5.2	4.84	32.75	1.15	48.4532
4.88	4.91	41.77	0.64	44.936
1.84	4.94	38.53	0.88	46.9266
4.2	4.96	35.1	0.9	49.1275
4.19	4.98	32.74	1.35	53.25
3.78	4.99	48.84	2.47	62.463
3.4	4.99	48.53	1.71	56.1245
5.54	5.02	32.18	0.83	48.7695
1.8	5.05	26.42	-1.3	26.8552
2.98	5.13	47.25	0.92	51.4698
7.41	5.13	46.25	1.77	60.0304
4.24	5.15	31.03	1.24	55.4783
4.56	5.16	47.44	0.32	46.0021
1.72	5.16	33.21	0.88	50.7672
3.27	5.16	31.83	-0.74	36.0985
2.95	5.18	33.04	0.5	48.4646
2.56	5.19	33.37	0.07	44.1214
3.83	5.24	33.26	1.05	55.272
3.22	5.26	48.51	1.96	63.2991
6.9	5.27	40.39	0.6	52.1512
1.74	5.3	41.97	1.8	61.819
2.01	5.35	43.04	0.35	49.0396
4.97	5.37	46.53	2.09	68.0819
8.35	5.39	48.14	2.25	69.4498
5.5	5.41	38.27	0.51	52.4634
5.05	5.43	49.68	1.63	65.5583
1.64	5.46	44.52	2.34	70.069
3.67	5.62	39.68	-1.81	27.8534
7.51	5.64	35.74	1.22	64.5493
3.3	5.69	26.99	-0.63	45.578
1.67	5.69	29.39	-1.6	31.0488
1.74	5.7	40.32	0.4	55.6651
3.76	5.72	42.7	1.11	64.8333
5.46	5.74	40.9	-1.26	38.766
3.47	5.77	28.9	0.16	55.7158
2.11	5.77	28.15	-1.59	33.2534
3.11	5.79	48.03	-0.91	43.8186
3.31	5.8	36.91	-0.59	46.9184
4.17	5.81	35.98	-0.63	48.3916
9.32	5.87	47.09	0.78	66.6006
4.39	5.94	29.09	-0.31	53.986
7.66	5.94	47.74	0.47	63.3463
7.42	5.94	38.81	0.25	63.3885
3.45	5.96	32.49	0.27	60.2446
3.42	5.96	32.03	-1.2	42.7915
1.27	6.02	29.56	-1.71	33.7188
7.78	6.05	48.19	0.46	64.891
8.4	6.08	38.47	1.36	75.4348
9.82	6.13	36.53	0.61	70.3547
5.76	6.14	49.7	0.34	67.1243
4.09	6.16	40.89	-0.99	49.2835
7.82	6.18	43.92	0.52	68.0199
6.17	6.23	33.51	0.01	66.3627
5.07	6.27	33.31	-0.34	60.3111
5.7	6.31	47.49	1.32	81.0044
