H	T	d	Uc	L
2.50	11.00	6.00	-3.50	24.8518127738
2.50	12.00	6.00	-3.50	31.9179572429
2.50	13.00	6.00	-3.50	22.4751067837
2.50	15.00	6.00	-3.50	63.2318389695
2.50	16.00	6.00	-3.50	68.9888349461
2.50	17.00	6.00	-3.50	74.7228367437
5.00	17.00	6.00	-3.50	83.4085045275
2.50	18.00	6.00	-3.50	80.4393901557
5.00	18.00	6.00	-3.50	92.2370896924
2.50	19.00	6.00	-3.50	86.1418482297
5.00	19.00	6.00	-3.50	98.4682122428
2.50	20.00	6.00	-3.50	91.8324205089
5.00	20.00	6.00	-3.50	112.0265481019
2.50	9.00	8.50	-3.50	19.0675764318
2.50	10.00	8.50	-3.50	41.5293454832
2.50	11.00	8.50	-3.50	49.7105806047
2.50	12.00	8.50	-3.50	23.3554208854
2.50	13.00	8.50	-3.50	64.9884410382
2.50	14.00	8.50	-3.50	72.2005246181
5.00	14.00	8.50	-3.50	55.3302744785
2.50	15.00	8.50	-3.50	79.3072844858
5.00	15.00	8.50	-3.50	84.7669287538
2.50	16.00	8.50	-3.50	86.3487939000
5.00	16.00	8.50	-3.50	99.1811180267
2.50	17.00	8.50	-3.50	93.3494620753
5.00	17.00	8.50	-3.50	107.1964788889
2.50	18.00	8.50	-3.50	100.3242954337
5.00	18.00	8.50	-3.50	115.1459444071
2.50	19.00	8.50	-3.50	107.2824852687
5.00	19.00	8.50	-3.50	122.9578320874
2.50	20.00	8.50	-3.50	114.2295949173
5.00	20.00	8.50	-3.50	131.2964350287
2.50	10.00	11.00	-3.50	48.4987581966
2.50	11.00	11.00	-3.50	58.6960471163
2.50	12.00	11.00	-3.50	18.5299066618
5.00	12.00	11.00	-3.50	41.0220092353
2.50	13.00	11.00	-3.50	76.7904497564
5.00	13.00	11.00	-3.50	80.2762581045
2.50	14.00	11.00	-3.50	85.3457740603
5.00	14.00	11.00	-3.50	92.9803140336
7.50	14.00	11.00	-3.50	98.2117469420
2.50	15.00	11.00	-3.50	93.7250160052
5.00	15.00	11.00	-3.50	102.0709612591
7.50	15.00	11.00	-3.50	104.9838782004
2.50	16.00	11.00	-3.50	101.9871255009
5.00	16.00	11.00	-3.50	111.1533379614
7.50	16.00	11.00	-3.50	115.5766997043
2.50	17.00	11.00	-3.50	110.1703983822
5.00	17.00	11.00	-3.50	120.7658933213
7.50	17.00	11.00	-3.50	124.8493467459
2.50	18.00	11.00	-3.50	118.3004987760
5.00	18.00	11.00	-3.50	129.8248730154
7.50	18.00	11.00	-3.50	135.3428056404
2.50	19.00	11.00	-3.50	126.3949016798
5.00	19.00	11.00	-3.50	138.8769098472
7.50	19.00	11.00	-3.50	153.2640177370
2.50	20.00	11.00	-3.50	134.4655602798
5.00	20.00	11.00	-3.50	147.9227079904
7.50	20.00	11.00	-3.50	163.1089798689
2.50	9.00	13.50	-3.50	21.4075121052
2.50	10.00	13.50	-3.50	54.1724336929
2.50	11.00	13.50	-3.50	66.0253183270
2.50	12.00	13.50	-3.50	76.8581627564
5.00	12.00	13.50	-3.50	81.9661330695
2.50	13.00	13.50	-3.50	87.1056883427
5.00	13.00	13.50	-3.50	92.3113563794
7.50	13.00	13.50	-3.50	94.6863192695
2.50	14.00	13.50	-3.50	96.9824110437
5.00	14.00	13.50	-3.50	102.5254244700
7.50	14.00	13.50	-3.50	106.6995174178
2.50	15.00	13.50	-3.50	106.6102732866
