H	T	d	Uc	L
5	15	8.5	-3.5	84.76692875
5	16	8.5	-3.5	99.18111803
2.5	17	8.5	-3.5	93.34946208
5	17	8.5	-3.5	107.1964789
2.5	18	8.5	-3.5	100.3242954
5	18	8.5	-3.5	115.1459444
2.5	19	8.5	-3.5	107.2824853
5	19	8.5	-3.5	122.9578321
2.5	20	8.5	-3.5	114.2295949
5	20	8.5	-3.5	131.296435
5	14	11	-3.5	92.98031403
2.5	15	11	-3.5	93.72501601
5	15	11	-3.5	102.0709613
7.5	15	11	-3.5	104.9838782
2.5	16	11	-3.5	101.9871255
5	16	11	-3.5	111.153338
7.5	16	11	-3.5	115.5766997
2.5	17	11	-3.5	110.1703984
5	17	11	-3.5	120.7658933
7.5	17	11	-3.5	124.8493467
2.5	18	11	-3.5	118.3004988
5	18	11	-3.5	129.824873
7.5	18	11	-3.5	135.3428056
2.5	19	11	-3.5	126.3949017
5	19	11	-3.5	138.8769098
7.5	19	11	-3.5	153.2640177
2.5	20	11	-3.5	134.4655603
5	20	11	-3.5	147.922708
7.5	20	11	-3.5	163.1089799
2.5	13	13.5	-3.5	87.10568834
5	13	13.5	-3.5	92.31135638
2.5	14	13.5	-3.5	96.98241104
5	14	13.5	-3.5	102.5254245
7.5	14	13.5	-3.5	106.6995174
2.5	15	13.5	-3.5	106.6102733
7.5	15	13.5	-3.5	115.6772583
10	15	13.5	-3.5	112.7555497
2.5	16	13.5	-3.5	116.0651827
7.5	16	13.5	-3.5	126.4746438
2.5	17	13.5	-3.5	125.3973861
7.5	17	13.5	-3.5	143.7943539
10	17	13.5	-3.5	145.4482108
2.5	18	13.5	-3.5	134.6415831
5	18	13.5	-3.5	143.3637066
7.5	18	13.5	-3.5	154.6196785
10	18	13.5	-3.5	154.0520053
2.5	19	13.5	-3.5	143.8224353
5	19	13.5	-3.5	153.3843257
7.5	19	13.5	-3.5	165.3945842
10	19	13.5	-3.5	168.5021551
2.5	20	13.5	-3.5	152.9577943
5	20	13.5	-3.5	163.3958264
7.5	20	13.5	-3.5	176.2124965
10	20	13.5	-3.5	179.6547472
2.5	9	18.5	-3.5	24.01319352
2.5	12	18.5	-3.5	91.08318068
2.5	13	18.5	-3.5	104.0882495
